top,right,bottom,left,score,category,frame
85,459,361,325,0.8742008,person,17453
165,72,347,24,0.76522946,person,17453
152,714,201,687,0.5255329,person,17453
2,624,466,0,0.9803542,person,17567
10,717,279,623,0.73503834,person,17567
269,215,325,187,0.5174456,toothbrush,17567
37,238,472,5,0.97168654,person,17765
118,694,474,520,0.9060714,person,17765
110,279,473,173,0.888762,person,17765
83,361,451,268,0.81878483,person,17765
221,517,316,461,0.70645046,potted plant,17765
260,271,323,231,0.6937729,handbag,17765
84,416,458,305,0.6061481,person,17765
42,447,474,81,0.9502931,person,17930
278,367,480,294,0.93538666,tie,17930
38,196,471,16,0.9448631,person,18338
126,707,480,521,0.8888916,person,18338
112,292,469,172,0.87088907,person,18338
86,377,451,281,0.8346163,person,18338
105,620,473,490,0.7795762,person,18338
221,529,318,472,0.5361845,potted plant,18338
39,466,476,36,0.98628867,person,18790
233,345,474,192,0.9567107,tie,18790
11,217,95,131,0.6424756,book,18790
14,174,96,130,0.517995,book,18790
32,213,475,2,0.9243523,person,18950
109,610,472,460,0.9088865,person,18950
112,705,480,516,0.83632,person,18950
253,287,316,247,0.82290196,handbag,18950
83,374,458,279,0.7929171,person,18950
114,294,467,181,0.6824058,person,18950
93,281,472,90,0.55277747,person,18950
53,596,471,472,0.80565655,person,19378
356,262,478,111,0.5550331,chair,19378
242,263,267,173,0.5354816,book,19378
251,264,276,171,0.5302504,book,19378
218,506,476,158,0.8991288,person,19812
1,457,476,0,0.80998987,person,20181
400,287,478,231,0.76390123,tie,20181
184,646,294,483,0.5012282,book,20181
9,553,474,173,0.66260225,person,20530
0,681,477,5,0.93059146,person,20713
407,277,479,201,0.7845222,tie,20713
29,720,162,611,0.7672979,person,20713
216,720,474,340,0.7088877,person,20926
94,598,479,347,0.9532731,person,21098
321,677,431,617,0.73508906,person,21098
329,163,479,33,0.7225049,person,21098
244,604,335,554,0.56276685,person,21098
93,155,311,66,0.8999852,person,21271
59,432,471,317,0.83869684,person,21271
391,232,444,79,0.70633066,book,21271
197,644,300,532,0.69485486,person,21271
207,78,292,0,0.61402047,person,21271
322,600,477,439,0.611534,chair,21271
199,718,273,661,0.6035409,person,21271
199,656,233,632,0.52116156,person,21271
30,659,476,265,0.9619205,person,21393
310,444,478,398,0.9122945,tie,21393
296,176,375,8,0.7881102,book,21393
330,696,477,609,0.6657791,chair,21393
395,163,468,0,0.58986735,fork,21393
0,434,114,350,0.58734894,person,21393
40,528,471,73,0.98613274,person,21484
333,319,477,224,0.95385504,tie,21484
324,720,476,553,0.64125836,person,21484
49,667,478,272,0.96647215,person,21584
320,460,478,415,0.8733942,tie,21584
0,476,99,359,0.66691744,person,21584
318,690,478,624,0.65892327,chair,21584
281,169,359,5,0.59941584,book,21584
36,521,476,65,0.9859903,person,21681
321,311,477,208,0.9434557,tie,21681
18,621,473,169,0.93779457,person,21763
275,169,356,2,0.7685456,book,21763
282,425,477,371,0.60936046,tie,21763
311,682,478,598,0.51248705,chair,21763
47,540,476,72,0.97988415,person,21827
328,328,477,236,0.9659779,tie,21827
2,585,476,32,0.9781853,person,21904
284,440,474,385,0.9001312,tie,21904
289,128,331,77,0.6092285,car,21904
286,120,413,19,0.5418734,person,21904
43,522,471,86,0.981344,person,22016
208,638,414,542,0.82457507,person,22016
327,718,477,547,0.68860257,person,22016
27,709,474,384,0.9975758,person,22125
305,605,474,540,0.9890677,tie,22125
7,423,478,53,0.5613227,clock,22197
1,708,468,78,0.5449752,person,22197
100,231,265,135,0.8595525,person,22280
66,472,370,364,0.76618445,person,22280
168,308,273,246,0.6886989,person,22280
150,147,219,84,0.68410945,person,22280
156,601,341,461,0.59925246,person,22280
117,641,184,565,0.53150076,person,22280
292,256,480,129,0.971509,tie,22543
0,531,473,0,0.94867516,person,22543
181,545,227,513,0.8511884,cup,22543
2,548,204,329,0.7568871,person,22543
210,720,475,496,0.54080033,person,22808
299,261,477,151,0.9795536,tie,22893
0,531,471,0,0.940748,person,22893
181,545,227,513,0.7819259,cup,22893
5,531,206,319,0.76113284,person,22893
187,342,289,273,0.5422149,tie,22893
264,720,476,492,0.5279224,person,23025
0,571,472,16,0.9613893,person,23197
326,269,478,169,0.8154012,tie,23197
205,550,247,519,0.74179476,cup,23197
184,346,279,271,0.6146136,tie,23197
184,347,278,272,0.546084,baseball glove,23197
63,633,477,185,0.5724727,person,23321
313,254,479,113,0.9786756,tie,23409
0,575,469,0,0.9710452,person,23409
33,407,199,312,0.8037791,person,23409
3,566,477,11,0.87681717,person,23767
217,658,475,437,0.71443397,person,24027
212,720,480,515,0.50392646,person,24027
5,700,464,44,0.64052045,book,24176
3,404,474,83,0.9656696,person,24534
315,177,475,116,0.56344646,tie,24534
256,107,409,1,0.52425337,person,24534
208,173,271,117,0.72295433,scissors,24885
2,454,474,0,0.96408284,person,25477
42,406,185,272,0.79630256,person,25477
365,165,478,93,0.52913815,tie,25477
128,705,478,172,0.79,person,26036
45,347,475,114,0.98293924,person,26143
177,680,477,480,0.894904,person,26143
371,401,456,327,0.7729172,chair,26143
274,606,442,570,0.7447024,tie,26143
195,240,350,195,0.59596086,tie,26143
336,217,356,153,0.56112194,remote,26143
272,696,327,658,0.55452794,book,26143
10,636,74,603,0.5412318,book,26143
13,604,75,575,0.51563346,book,26143
12,717,71,670,0.5054717,book,26143
196,341,374,271,0.9416785,tie,26228
70,474,402,107,0.89971405,person,26228
138,443,229,353,0.600412,chair,26228
129,78,247,26,0.53878236,book,26228
326,693,382,471,0.5321469,keyboard,26228
154,62,240,28,0.50997543,book,26228
49,360,476,124,0.98990834,person,26339
174,681,479,483,0.8937983,person,26339
269,609,436,568,0.8282794,tie,26339
367,398,449,327,0.7569829,chair,26339
198,250,334,215,0.60974723,tie,26339
267,701,323,661,0.59486085,book,26339
264,716,321,679,0.5284159,book,26339
304,213,329,141,0.52467144,remote,26339
9,603,70,577,0.5197362,book,26339
195,341,373,262,0.95462584,tie,26447
73,473,400,127,0.89368975,person,26447
138,446,237,354,0.6705092,chair,26447
128,76,246,24,0.5415,book,26447
125,92,243,53,0.5123776,book,26447
123,121,235,81,0.5123091,book,26447
154,60,240,26,0.5012356,book,26447
37,358,476,126,0.98079616,person,26743
165,692,475,484,0.89933085,person,26743
363,406,444,333,0.80136395,chair,26743
261,618,426,580,0.6562991,tie,26743
236,203,284,143,0.5972083,cell phone,26743
259,716,315,669,0.5423764,book,26743
119,514,182,493,0.540829,book,26743
121,572,182,550,0.5095899,book,26743
120,552,182,532,0.5075327,book,26743
0,613,60,583,0.50704277,book,26743
188,256,277,227,0.50556445,tie,26743
120,562,182,540,0.50437427,book,26743
255,718,314,690,0.5031437,book,26743
73,473,401,170,0.719216,person,27029
140,471,292,378,0.6386669,chair,27029
126,137,239,85,0.50918704,book,27029
42,342,480,108,0.9793023,person,27171
173,686,477,483,0.8709515,person,27171
273,618,438,574,0.78018737,tie,27171
369,407,452,333,0.73846173,chair,27171
269,702,325,662,0.5440564,book,27171
267,715,325,677,0.52426934,book,27171
74,469,406,130,0.88665617,person,27334
219,359,391,226,0.6810892,tie,27334
139,469,287,373,0.63098586,chair,27334
125,111,246,50,0.50200367,book,27334
91,316,471,118,0.9646306,person,27430
152,680,477,485,0.85764515,person,27430
241,604,405,568,0.83876467,tie,27430
342,397,425,329,0.80958617,chair,27430
243,697,297,658,0.5911356,book,27430
102,571,166,548,0.5063937,book,27430
95,711,165,679,0.50148845,book,27430
237,715,296,679,0.5006685,book,27430
208,307,399,242,0.89970684,tie,27547
70,462,408,132,0.8837633,person,27547
133,443,241,345,0.569123,chair,27547
155,60,240,25,0.5636336,book,27547
130,75,247,24,0.55761796,book,27547
124,93,240,54,0.5507492,book,27547
124,117,234,69,0.5303151,book,27547
63,542,472,188,0.99842596,person,27679
286,405,479,330,0.9765429,tie,27679
56,445,458,86,0.95925,person,27839
226,278,450,225,0.75426966,tie,27839
185,55,293,4,0.6016268,book,27839
177,101,288,62,0.58952105,book,27839
177,74,294,34,0.55742455,book,27839
7,631,471,136,0.96987265,person,27966
13,716,290,463,0.6503108,tv,27966
51,330,430,72,0.84035146,person,28032
13,106,53,2,0.5139379,book,28032
72,346,476,61,0.93892586,person,28227
384,543,439,517,0.5291491,person,28227
189,374,440,305,0.81787705,tie,28441
50,483,468,104,0.8042128,person,28441
144,454,219,392,0.6921015,chair,28441
139,313,237,217,0.50302464,chair,28441
194,300,462,227,0.91673857,tie,28648
38,328,472,78,0.8580189,person,28648
339,570,397,521,0.7575242,person,28648
328,500,416,405,0.68211687,person,28648
314,718,367,697,0.6004476,person,28648
323,415,379,385,0.5799411,person,28648
327,374,364,352,0.5752333,person,28648
332,718,377,686,0.56107235,person,28648
316,430,374,408,0.5565888,person,28648
342,574,372,552,0.50832313,person,28648
43,378,472,69,0.9119606,person,28879
294,292,417,249,0.8537277,tie,28879
36,720,116,673,0.71793205,person,28879
198,472,309,428,0.6808549,book,28879
182,437,317,385,0.6693655,book,28879
203,498,301,443,0.66676486,book,28879
184,455,315,408,0.61863226,book,28879
333,665,474,310,0.55726117,suitcase,28879
53,423,114,385,0.5442234,person,28879
133,377,477,54,0.9142523,person,29296
115,570,338,508,0.7927011,person,29296
98,711,255,631,0.7520174,person,29296
102,91,186,37,0.7250381,person,29296
93,146,189,106,0.6443733,person,29296
101,200,147,163,0.74180233,person,29664
151,159,348,60,0.71393234,person,29664
109,119,168,86,0.67522335,person,29664
169,483,396,386,0.6251824,person,29664
236,716,420,501,0.7984139,person,29722
199,556,294,494,0.67548203,person,29722
204,391,363,285,0.5560719,person,29722
240,508,378,430,0.51122236,potted plant,29722
166,155,358,0,0.729564,person,29839
145,481,361,418,0.71755457,person,29839
138,90,199,35,0.5645387,chair,29839
85,424,469,86,0.87813205,person,29986
373,720,478,650,0.8452204,cup,29986
288,107,478,0,0.75859827,chair,29986
253,714,371,664,0.66678464,book,29986
227,673,376,615,0.6169008,book,29986
90,471,155,434,0.57923436,person,29986
18,489,467,337,0.9037407,person,30111
217,335,367,219,0.78545946,person,30111
177,546,301,498,0.58578426,person,30111
182,375,302,314,0.5468908,person,30111
121,184,309,35,0.5075507,tv,30111
122,239,467,6,0.82902646,person,30209
151,577,268,528,0.74801326,person,30209
282,267,334,233,0.65978575,cup,30209
147,712,241,605,0.6032346,person,30209
148,598,177,567,0.5362618,person,30209
220,73,326,17,0.5018722,book,30209
339,111,417,0,0.82134503,car,30285
220,271,254,255,0.72415656,tie,30285
150,306,303,208,0.5954716,person,30285
102,358,459,180,0.6557645,person,30362
75,372,474,44,0.93101895,person,30482
71,718,147,663,0.77054507,person,30482
234,477,342,430,0.76347435,book,30482
214,436,353,382,0.6806555,book,30482
222,454,348,409,0.66362786,book,30482
38,638,159,568,0.66257787,person,30482
326,270,444,228,0.61208814,tie,30482
237,487,324,444,0.56358624,book,30482
84,414,142,384,0.55671823,person,30482
231,688,365,615,0.51283854,book,30482
0,253,471,0,0.9719574,person,30580
412,357,476,290,0.5906622,person,30580
28,411,479,254,0.8848142,person,30667
215,253,356,168,0.73827785,person,30667
233,717,421,540,0.73462284,person,30667
215,503,335,407,0.6780569,person,30667
244,552,379,478,0.52617824,potted plant,30667
17,508,474,9,0.9595083,person,30800
205,649,308,571,0.74755764,person,30897
233,717,433,527,0.7156974,person,30897
74,361,474,214,0.70151263,person,30897
46,673,473,348,0.9797889,person,31151
278,507,479,422,0.95276415,tie,31151
317,239,476,7,0.79011166,person,31151
276,695,364,658,0.7314993,person,31151
251,328,402,239,0.71881455,person,31151
402,201,479,168,0.6777013,tie,31151
279,659,352,630,0.61216986,person,31151
294,46,362,0,0.54658914,person,31151
325,149,376,91,0.53163123,person,31151
311,108,353,83,0.50061095,person,31151
49,480,475,100,0.93171835,person,31427
282,116,345,1,0.6801125,book,31427
297,164,377,87,0.5887767,book,31427
36,713,474,335,0.9828809,person,31512
381,505,476,409,0.60088336,tie,31512
52,476,478,97,0.88856435,person,31560
280,116,341,1,0.6376632,book,31560
361,493,477,394,0.9949416,tie,31600
23,700,477,328,0.990253,person,31600
291,334,476,234,0.9638554,tie,31662
1,532,474,104,0.96186554,person,31662
283,112,342,1,0.6580254,book,31662
23,685,477,322,0.9849903,person,31734
367,477,479,378,0.88276935,tie,31734
324,270,477,186,0.9939101,tie,31779
26,472,472,1,0.9745685,person,31779
310,88,367,2,0.52562517,book,31779
40,583,458,404,0.9319825,person,31993
228,273,474,111,0.7805038,person,31993
152,307,259,256,0.73461753,person,31993
133,425,257,375,0.7173424,person,31993
354,128,438,57,0.67167467,chair,31993
140,388,214,342,0.6487577,person,31993
211,691,288,616,0.6399135,person,31993
155,640,217,604,0.5428764,person,31993
151,338,209,310,0.50922,person,31993
166,717,208,697,0.50585395,person,31993
357,418,478,338,0.9646673,tie,32248
37,628,475,292,0.9607472,person,32248
318,284,476,189,0.9990773,tie,32492
58,419,473,6,0.9661894,person,32492
314,60,369,0,0.5164571,book,32492
14,657,474,312,0.9815892,person,32711
352,439,475,359,0.5088695,tie,32711
315,280,475,188,0.9987755,tie,32785
62,579,473,1,0.9644777,person,32785
162,687,216,649,0.90711904,cup,32785
222,718,470,541,0.6533334,chair,32785
147,605,183,569,0.60120213,cup,32785
311,59,357,0,0.5411511,book,32785
161,557,196,476,0.5031856,book,32785
121,434,226,372,0.5858905,person,32902
314,277,476,186,0.9964044,tie,32998
61,583,474,9,0.9697288,person,32998
163,686,215,649,0.835615,cup,32998
226,718,471,532,0.62986267,chair,32998
147,604,183,569,0.60480493,cup,32998
313,61,366,0,0.5486567,book,32998
30,718,473,396,0.9940433,person,33109
400,380,479,285,0.90563256,person,33109
97,420,393,284,0.8742579,person,33264
237,376,471,111,0.81205165,person,33264
139,523,270,456,0.79544157,person,33264
360,239,462,193,0.7189991,tie,33264
136,655,252,593,0.71788996,person,33264
357,127,442,61,0.68839365,chair,33264
124,315,359,239,0.6666156,person,33264
162,596,223,558,0.62378776,person,33264
201,589,267,514,0.5451094,person,33264
279,34,345,0,0.50064814,person,33264
151,653,232,588,0.78085756,person,33354
100,279,435,208,0.75224966,person,33354
156,52,228,9,0.7335241,person,33354
215,76,437,0,0.7294283,person,33354
355,133,477,44,0.72175545,chair,33354
35,372,475,0,0.9069206,person,33425
361,205,479,141,0.809278,tie,33425
104,716,471,492,0.6211528,person,33425
354,135,478,43,0.76574665,chair,33555
151,651,225,588,0.73286986,person,33555
208,78,438,1,0.62413335,person,33555
189,42,243,0,0.610381,person,33555
137,228,366,136,0.8180438,person,33690
300,512,416,420,0.80399954,chair,33690
391,638,444,615,0.7193374,wine glass,33690
233,350,382,252,0.7008727,person,33690
247,620,331,541,0.6678004,person,33690
229,302,294,250,0.63944674,person,33690
2,433,304,26,0.63318837,umbrella,33690
80,170,228,30,0.6139158,umbrella,33690
215,416,292,350,0.60855156,person,33690
348,368,473,250,0.60296845,chair,33690
197,534,293,480,0.58630127,person,33690
248,718,429,625,0.57619673,person,33690
289,409,372,341,0.56091595,chair,33690
408,610,437,587,0.5539422,cup,33690
405,227,477,105,0.55113155,chair,33690
209,51,289,12,0.54378873,person,33690
399,484,444,466,0.5272483,wine glass,33690
279,111,459,0,0.5072934,person,33690
57,468,475,146,0.979808,person,33785
366,123,477,47,0.56994146,wine glass,33785
40,641,476,261,0.99167323,person,33885
278,549,474,439,0.9266151,tie,33885
362,613,480,545,0.74334985,wine glass,33885
302,282,350,236,0.9344708,cup,34090
241,100,322,60,0.903075,wine glass,34090
71,663,465,314,0.88601136,person,34090
255,327,341,289,0.8646774,wine glass,34090
75,301,323,140,0.8171454,person,34090
289,72,334,32,0.63702494,cup,34090
300,428,456,7,0.5352537,dining table,34090
48,478,474,131,0.94276303,person,34312
367,136,476,60,0.686388,wine glass,34312
28,652,477,259,0.9879317,person,34465
272,555,474,439,0.9044244,tie,34465
360,614,479,546,0.89203143,wine glass,34465
62,475,477,133,0.7901433,person,34610
374,113,479,35,0.6823684,wine glass,34610
292,139,470,0,0.51954144,chair,34610
30,617,473,261,0.9913451,person,34722
274,561,476,438,0.9285431,tie,34722
361,616,478,545,0.9101887,wine glass,34722
51,495,476,111,0.96136045,person,34824
368,121,475,45,0.68455917,wine glass,34824
34,624,474,258,0.9907218,person,34950
361,615,478,545,0.87274015,wine glass,34950
280,555,475,443,0.85956216,tie,34950
61,497,475,109,0.9556401,person,35097
368,121,476,43,0.7238256,wine glass,35097
29,630,473,260,0.99258876,person,35230
360,615,478,546,0.9101474,wine glass,35230
275,554,475,426,0.89783275,tie,35230
61,471,474,146,0.98653257,person,35338
366,121,476,47,0.5772992,wine glass,35338
15,608,474,280,0.992447,person,35435
258,560,475,426,0.94101095,tie,35435
361,623,478,545,0.5571904,wine glass,35435
56,470,476,135,0.9903017,person,35636
367,121,476,47,0.6670495,wine glass,35636
44,375,471,27,0.9559827,person,36710
266,272,478,185,0.75595677,tie,36710
81,669,345,524,0.78463495,person,38156
171,580,269,543,0.7788421,tie,38156
156,178,212,137,0.7528708,person,38156
188,326,428,50,0.72345114,person,38156
291,376,356,340,0.63463885,book,38156
282,177,386,114,0.5814869,tie,38156
285,354,354,312,0.5395314,book,38156
394,183,465,44,0.5234408,book,38156
344,324,458,179,0.50707126,suitcase,38156
46,639,470,245,0.77269983,person,38790
86,246,383,83,0.64595675,chair,38790
272,536,476,457,0.98862606,tie,38950
45,720,475,337,0.9684365,person,38950
266,192,328,142,0.61096156,person,38950
69,534,446,204,0.71582854,person,39059
39,240,338,82,0.61359984,chair,39059
4,199,331,56,0.5005052,person,39059
268,536,478,458,0.9870001,tie,39181
49,698,475,340,0.9763932,person,39181
298,717,384,658,0.6485387,person,39181
27,587,472,205,0.8408515,person,39386
29,720,56,652,0.5578278,book,39386
70,269,364,88,0.5218832,chair,39386
4,265,338,83,0.5110309,person,39386
82,677,341,530,0.8168067,person,39895
148,278,214,240,0.80617356,person,39895
170,579,267,547,0.7935816,tie,39895
143,89,186,56,0.7349374,person,39895
138,307,216,275,0.73320496,person,39895
184,156,454,3,0.72234076,person,39895
164,396,251,347,0.6178489,person,39895
283,379,353,337,0.57678163,book,39895
396,185,467,41,0.5741317,book,39895
277,354,351,310,0.50439703,book,39895
254,498,480,428,0.98844635,tie,40293
29,667,472,323,0.9711882,person,40293
279,92,368,0,0.800822,person,40293
277,712,364,628,0.78074384,person,40293
56,570,474,214,0.9123085,person,40402
250,400,473,343,0.66549814,tie,40402
2,168,226,12,0.61880124,person,40402
45,398,474,189,0.9680027,person,40515
154,720,352,619,0.7891002,person,40515
272,103,357,22,0.7741908,person,40515
230,566,309,531,0.6438154,person,40515
231,590,281,557,0.5779266,person,40515
228,624,281,596,0.5647906,person,40515
34,531,471,189,0.82368135,person,40617
85,213,279,69,0.53304684,chair,40617
73,350,440,228,0.87948745,person,40806
160,574,210,534,0.75349545,person,40806
200,104,280,30,0.7277903,person,40806
160,596,211,561,0.6985211,person,40806
162,628,233,583,0.6393897,person,40806
336,495,361,421,0.50083256,book,40806
53,578,477,228,0.81609714,person,41036
134,683,291,603,0.81365263,person,41277
160,532,279,456,0.74750626,person,41277
317,349,443,212,0.6477594,laptop,41277
160,559,243,505,0.6007035,person,41277
327,639,455,511,0.5677366,chair,41277
111,316,419,194,0.84677327,person,41499
163,436,206,406,0.80723774,person,41499
155,110,308,59,0.7967162,person,41499
148,346,475,164,0.9325075,person,41726
1,670,172,589,0.85674393,person,41726
42,556,469,20,0.99577856,person,41957
364,337,479,276,0.87613475,tie,41957
95,353,475,213,0.85613084,person,42117
138,596,475,493,0.7350605,person,42117
188,297,353,250,0.87387663,person,42261
188,339,353,293,0.65796685,person,42261
35,553,468,104,0.9952445,person,42492
388,331,478,280,0.75660455,tie,42492
220,697,470,29,0.6822052,bed,42683
173,336,418,261,0.903713,person,44137
255,143,399,90,0.8634076,person,44137
314,49,416,0,0.85763085,person,44137
0,210,458,0,0.9081847,person,44619
95,451,182,366,0.88547087,person,44619
134,632,465,183,0.79306614,person,44619
61,627,449,362,0.65404093,person,44619
322,457,362,362,0.53870606,keyboard,44619
77,696,135,658,0.5294537,person,44619
133,278,244,187,0.5218011,person,44619
356,242,434,158,0.50732905,chair,44619
31,653,476,123,0.8792273,person,45384
361,196,476,58,0.5586226,car,45384
323,472,478,356,0.9945821,tie,45915
23,684,471,214,0.9606409,person,45915
36,159,180,76,0.7771859,person,45915
336,312,478,239,0.996678,tie,46010
19,483,476,59,0.9880398,person,46010
134,86,250,0,0.80322605,person,46010
241,92,306,0,0.58324957,chair,46010
225,124,294,72,0.5647996,person,46010
35,682,181,600,0.8884327,person,46136
67,412,475,75,0.7449073,person,46136
90,564,219,476,0.7344526,person,46136
6,413,35,390,0.581149,clock,46136
102,33,227,0,0.53744495,person,46136
258,672,470,275,0.5043986,couch,46136
19,491,475,65,0.98480225,person,46299
360,317,479,242,0.9389516,tie,46299
16,647,197,576,0.81503475,person,46299
18,717,267,611,0.76516694,person,46299
133,103,276,12,0.7089118,person,46299
235,63,300,1,0.5874109,chair,46299
12,681,223,588,0.52090687,person,46299
325,479,479,356,0.99848914,tie,46437
26,681,472,228,0.96124,person,46437
51,154,181,61,0.80474293,person,46437
24,116,478,1,0.583402,person,46437
361,292,475,156,0.5071329,chair,46437
93,554,211,438,0.8104663,person,46515
74,346,472,47,0.7895565,person,46515
21,719,182,599,0.77050334,person,46515
94,49,197,0,0.69360316,person,46515
173,718,472,336,0.5180595,person,46515
66,485,473,64,0.96037924,person,46562
1,677,287,577,0.78993225,person,46562
143,81,253,0,0.69002146,person,46562
245,90,308,0,0.6208379,chair,46562
54,720,207,669,0.565708,person,46562
93,511,214,435,0.8163139,person,46652
69,458,470,55,0.76983905,person,46652
107,107,195,0,0.7162691,person,46652
147,241,347,107,0.89022833,person,47017
230,495,297,475,0.7757174,tie,47017
102,49,193,4,0.7491978,person,47017
156,544,302,430,0.72946644,person,47017
101,123,202,61,0.725554,person,47017
80,423,319,314,0.7013043,person,47017
164,661,466,312,0.6620172,person,47017
123,451,197,413,0.6236257,person,47017
129,103,197,45,0.53108424,person,47017
390,426,440,331,0.5229205,book,47017
133,517,189,480,0.5008019,person,47017
70,462,474,35,0.8670107,person,47338
92,550,214,440,0.85810846,person,47338
164,719,471,169,0.58444035,person,47338
